tx_id,amount,arrival_time,max_delay,priority
T689,2890,51,227,2
T884,1310,53,136,1
T236,1875,54,122,4
T186,1841,54,86,2
T805,494,54,164,2
T160,2543,55,141,3
T380,2864,55,89,4
T404,2807,56,36,2
T925,2445,57,59,3
T749,231,57,237,4
T725,352,57,242,5
T905,1525,58,120,4
T466,1759,58,35,3
T386,498,59,90,5
T885,680,59,119,3
T162,1677,59,177,2
T909,849,59,125,2
T743,831,60,167,4
T646,627,60,54,4
T586,1172,60,228,3
T232,2418,61,230,1
T967,1829,61,207,2
T313,218,62,191,5
T589,655,62,248,1
T977,2514,63,216,4
T607,2222,63,69,3
T525,1267,63,51,2
T290,2019,63,206,3
T417,1226,64,189,5
T263,1223,64,41,1
T211,2648,65,166,1
T143,271,65,108,3
T505,2844,65,209,5
T599,2606,66,52,1
T606,1872,66,158,1
T403,2312,66,94,2
T429,2378,66,45,5
T503,2537,66,211,1
T513,2546,67,126,2
T988,1684,67,250,5
T371,2309,67,123,5
T971,2727,68,203,2
T742,2776,68,250,3
T854,1347,69,31,4
T387,1691,69,146,3
T857,1330,69,112,5
T739,2727,69,216,4
T911,2454,70,128,4
T523,1124,70,43,4
T685,547,70,187,5
T755,2163,71,104,2
T709,2055,71,112,2
T934,946,71,238,2
T375,1024,72,250,4
T648,915,73,184,5
T442,2419,73,198,4
T758,2804,73,163,2
T680,1289,74,40,3
T849,359,74,72,4
T785,166,74,96,5
T348,1100,74,165,4
T532,663,74,39,3
T663,2888,75,92,1
T727,773,76,113,5
T271,2405,76,107,1
T491,353,77,145,1
T666,1791,77,206,2
T883,1512,77,36,4
T614,801,78,198,5
T719,1963,78,221,5
T510,416,79,105,1
T998,2297,79,113,4
T133,1215,79,102,5
T448,744,79,223,5
T57,788,80,200,4
T78,336,80,200,3
T594,2968,80,193,2
T128,1894,80,243,5
T959,1222,81,53,3
T495,1590,81,125,3
T893,1455,81,173,4
T522,917,82,235,5
T823,2409,83,91,5
T514,840,83,242,5
T515,1892,84,41,4
T608,763,84,112,2
T345,2942,85,106,1
T914,2105,85,103,2
T876,2750,85,186,1
T571,2925,85,143,3
T792,673,86,214,5
T467,2631,87,147,3
T350,817,87,50,5
T76,473,88,200,3
T68,800,88,200,3
T280,2360,88,49,2
T706,2602,89,249,4
T67,674,90,200,4
T859,1731,90,111,3
T695,248,90,244,4
T159,2478,91,97,1
T262,1338,91,33,5
T244,2097,93,84,3
T765,2303,94,151,2
T64,775,94,200,4
T54,649,94,200,4
T901,1598,95,113,2
T912,2093,95,192,5
T840,1865,95,144,5
T545,2821,95,201,1
T75,426,95,200,3
T915,1388,95,245,4
T69,637,96,200,4
T171,1822,98,200,4
T61,491,99,200,3
T261,1313,99,88,3
T184,2952,99,128,4
T476,810,101,184,2
T897,1941,101,181,4
T863,2525,102,169,2
T596,668,102,90,4
T557,279,103,232,2
T958,2920,103,63,3
T311,1193,104,170,2
T624,1493,104,185,2
T899,1240,105,222,1
T399,381,105,242,5
T400,2501,106,85,2
T278,2662,106,84,3
T72,775,107,200,3
T134,1504,107,82,3
T457,662,108,225,3
T79,334,109,200,3
T683,927,109,241,5
T636,2489,110,120,1
T66,749,110,200,3
T452,2198,110,59,3
T536,712,110,170,5
T798,2171,111,146,3
T224,2004,111,209,3
T976,455,111,55,2
T365,2707,112,78,5
T718,997,113,64,4
T251,1756,113,207,2
T152,917,113,239,4
T881,1925,113,125,4
T435,543,114,119,5
T154,196,114,198,2
T766,1331,115,249,2
T965,2227,115,204,4
T181,915,115,67,1
T274,2240,115,127,4
T316,564,115,148,1
T687,2713,115,89,1
T423,1794,116,116,4
T343,470,116,141,1
T817,965,117,207,5
T788,1655,117,175,2
T364,2586,117,235,3
T295,2861,117,244,5
T199,1668,118,207,2
T60,730,118,200,3
T330,1782,119,41,3
T754,2310,119,85,1
T518,2287,119,91,3
T73,504,119,200,4
T65,422,119,200,3
T197,1212,120,115,3
T475,521,120,67,3
T63,550,121,200,3
T538,1333,121,61,1
T931,959,121,237,5
T147,765,121,234,2
T80,336,122,200,3
T314,748,122,109,5
T539,1819,122,193,5
T686,1093,122,42,5
T868,1134,123,198,2
T628,2010,123,61,3
T249,2928,123,151,4
T806,886,123,188,5
T55,357,123,200,4
T398,615,124,231,5
T846,2442,124,163,2
T469,1884,124,180,4
T861,1434,124,126,3
T892,2213,124,74,5
T753,281,125,132,4
T221,916,126,244,1
T979,1234,126,195,1
T722,2886,126,223,5
T980,2366,127,183,5
T272,585,127,172,4
T875,2793,127,200,3
T584,564,127,36,2
T610,904,128,192,5
T366,2876,128,223,2
T960,437,128,125,2
T256,1044,128,60,2
T306,1424,129,59,4
T52,495,129,200,4
T268,2056,129,59,1
T807,1551,129,98,4
T550,166,129,121,1
T354,2831,130,32,4
T163,281,130,211,4
T373,2073,131,236,3
T790,2101,131,215,4
T245,1494,132,101,5
T51,605,134,200,3
T56,380,135,200,4
T132,572,135,57,5
T407,314,135,62,4
T150,752,136,231,1
T74,760,136,200,4
T566,438,136,216,4
T848,1333,137,98,4
T684,2402,138,208,3
T839,518,138,63,1
T526,1940,139,161,2
T208,1885,139,154,1
T562,609,139,234,3
T362,133,140,174,1
T611,612,140,190,3
T850,1824,141,106,4
T395,877,141,61,4
T299,843,142,179,4
T156,1538,142,194,5
T674,2385,142,106,2
T217,1826,142,94,1
T645,2652,143,204,5
T936,2544,143,167,2
T58,690,144,200,3
T324,1322,144,244,5
T59,767,144,200,3
T588,2942,146,155,2
T304,2813,147,132,5
T692,1415,147,103,1
T283,2995,147,102,4
T53,428,147,200,3
T678,599,147,176,5
T312,1894,147,208,4
T71,746,147,200,4
T355,2875,147,169,2
T458,1443,148,60,1
T922,233,149,100,2
T543,1858,149,30,5
T62,788,149,200,3
T347,1568,150,125,4
T70,384,150,200,4
T77,417,150,200,3
T984,2746,151,43,2
T787,724,151,80,3
T834,1109,151,212,1
T675,1283,152,210,2
T929,232,152,145,3
T810,2901,153,241,1
T131,2817,153,56,2
T357,2717,153,138,3
T173,1763,154,170,1
T174,1275,155,83,4
T252,2819,156,178,3
T570,1926,156,184,4
T715,754,157,133,5
T781,1171,157,122,5
T634,2137,157,35,1
T600,1730,158,213,4
T997,423,158,160,2
T504,2389,158,126,3
T508,838,158,84,3
T1000,2961,158,141,2
T368,1905,158,38,5
T227,542,159,178,1
T228,2458,159,203,4
T433,1540,159,56,5
T464,2458,160,139,5
T425,1848,160,110,3
T625,1407,160,217,3
T671,809,160,147,5
T161,1887,160,185,5
T908,582,160,91,3
T257,589,161,220,5
T837,1577,162,57,1
T191,1912,162,186,5
T889,375,163,106,1
T783,932,163,124,3
T490,2578,164,151,5
T416,2591,164,67,1
T952,1261,165,116,5
T937,2983,165,104,3
T480,2669,165,110,2
T370,1801,167,74,2
T948,2483,167,30,1
T216,1482,167,224,4
T303,1786,168,207,4
T401,704,168,231,5
T158,213,169,59,3
T770,2748,169,50,4
T702,765,169,217,4
T878,1863,169,57,1
T855,2640,170,127,3
T501,433,170,179,2
T327,2360,170,225,5
T243,217,172,156,3
T441,1537,173,31,2
T374,571,173,149,1
T471,1007,173,115,2
T338,2652,173,207,4
T323,2179,174,98,1
T828,2578,174,226,5
T886,1965,175,230,2
T954,2895,175,225,1
T672,2337,175,120,3
T492,445,175,159,2
T551,1087,176,217,1
T748,735,177,100,2
T233,2282,177,139,3
T609,2225,177,102,1
T528,209,178,136,1
T930,456,178,142,1
T301,1772,178,115,3
T153,1350,179,240,2
T474,2743,179,238,2
T974,972,179,190,2
T502,1370,179,197,4
T978,1858,179,110,2
T544,1085,180,176,4
T553,2336,180,116,2
T205,1323,180,222,4
T561,295,182,197,3
T873,2973,184,237,5
T579,1668,185,175,1
T643,2366,185,103,1
T595,2183,185,87,1
T516,2870,186,214,2
T369,638,186,53,3
T575,2201,186,235,2
T225,787,188,185,5
T598,2014,188,235,5
T436,570,188,225,3
T970,1325,188,65,4
T771,478,189,167,2
T446,1376,189,214,3
T581,1623,189,143,1
T524,2371,190,56,5
T426,725,191,205,4
T720,1803,191,209,5
T740,1666,191,144,4
T647,1488,191,172,3
T741,428,192,204,5
T832,1868,192,77,5
T945,1951,192,49,1
T328,1965,193,112,2
T215,1440,194,84,4
T780,2009,194,166,3
T747,1040,194,93,4
T460,2281,194,210,2
T679,1716,194,239,3
T521,2159,195,165,4
T151,258,195,249,4
T351,2638,195,204,2
T825,673,196,232,1
T564,1488,197,77,4
T332,2818,197,232,2
T844,150,197,104,4
T644,2165,197,145,5
T530,434,197,125,2
T769,1094,198,95,2
T845,446,198,215,5
T496,1774,198,228,3
T904,2603,198,130,5
T824,2873,199,168,3
T203,2492,199,208,1
T209,1476,199,201,4
T898,118,199,210,2
T82,17953,200,20,1
T89,13981,200,20,1
T85,12167,200,20,1
T81,14562,200,20,1
T87,19440,200,20,1
T84,18834,200,20,1
T86,19355,200,20,1
T90,17749,200,20,1
T88,17744,200,20,1
T83,13510,200,20,1
T862,1595,201,59,5
T212,2524,201,174,1
T635,2170,201,147,2
T896,219,202,218,5
T122,636,202,201,3
T529,2156,202,125,2
T583,1387,203,196,3
T229,912,203,49,5
T559,2324,203,151,3
T185,1099,204,67,1
T155,1444,204,101,1
T157,2883,204,245,5
T424,1803,204,216,1
T626,635,204,224,3
T269,2114,205,48,5
T708,2841,205,54,2
T649,2148,205,40,1
T414,1846,205,205,1
T641,1598,206,41,4
T946,2211,206,221,3
T465,2722,207,136,3
T146,2642,208,221,2
T201,1455,208,168,4
T764,711,209,106,4
T919,2904,209,155,4
T667,2155,210,228,5
T975,2623,210,205,4
T103,8198,210,23,2
T149,2843,210,218,2
T431,1548,210,200,4
T148,201,211,75,3
T796,663,211,245,2
T784,287,211,174,2
T759,1330,211,100,1
T202,355,212,82,4
T994,1834,212,209,4
T658,2490,213,108,1
T768,2382,213,165,2
T206,2304,214,221,5
T445,1958,214,117,2
T631,1116,214,70,3
T989,1596,215,169,2
T99,10342,216,32,1
T109,9160,217,17,1
T286,570,217,169,2
T254,2354,217,114,3
T94,8298,217,38,2
T928,519,217,218,2
T106,9744,217,38,1
T192,2344,218,144,2
T110,9874,218,17,1
T707,2210,218,113,1
T276,1350,219,175,5
T951,967,219,156,3
T98,8630,219,40,1
T453,554,220,102,5
T640,648,220,97,3
T166,386,220,200,3
T100,11173,221,22,1
T815,2741,222,230,3
T463,176,223,147,1
T95,7036,223,21,1
T527,475,223,86,4
T827,1050,223,244,1
T563,1738,223,220,4
T494,2246,224,163,5
T623,1802,225,153,4
T196,417,225,212,3
T957,1969,225,30,4
T520,1991,225,226,3
T267,1495,225,77,1
T481,379,225,150,4
T856,1471,225,140,5
T728,576,226,204,2
T450,2811,226,138,4
T275,1317,226,250,5
T392,1921,227,90,3
T517,2600,227,102,4
T752,2548,228,202,1
T326,2306,228,153,3
T572,273,228,216,3
T711,1193,228,114,3
T250,170,229,53,3
T105,6555,229,24,1
T479,2889,229,174,5
T629,1115,230,66,1
T489,2441,230,196,2
T590,807,231,212,4
T378,1609,232,202,3
T731,640,232,161,4
T699,2726,232,169,5
T358,1337,233,80,4
T189,646,233,235,4
T97,7281,233,29,1
T732,2409,233,44,5
T949,2700,234,200,3
T540,357,234,58,4
T123,1395,234,222,1
T902,566,234,97,4
T791,789,235,217,3
T214,844,236,42,3
T733,2855,236,236,3
T308,1792,236,43,2
T488,2477,236,171,1
T353,2712,236,95,4
T894,1049,236,234,4
T882,2883,237,180,5
T242,2434,237,186,4
T767,336,237,173,4
T478,2409,237,224,5
T176,1909,238,143,2
T701,1217,239,79,1
T218,179,240,221,5
T298,2225,240,196,4
T519,894,240,124,5
T282,1292,240,38,2
T990,398,241,34,5
T668,355,241,210,2
T721,2301,241,235,2
T533,2951,241,242,2
T651,2227,242,146,2
T331,2988,242,237,4
T253,2367,242,165,3
T223,2842,242,59,5
T193,1943,243,96,2
T409,1936,243,229,3
T818,1210,243,41,1
T964,419,244,63,5
T968,390,244,88,4
T677,1528,245,173,3
T777,1093,245,208,5
T775,955,245,115,3
T104,8465,246,37,2
T359,536,247,90,4
T800,2800,247,154,1
T259,1232,247,215,5
T319,2034,247,92,4
T509,886,248,87,2
T917,659,248,79,4
T195,2667,248,91,3
T454,2258,249,200,3
T390,2621,250,134,3
T793,853,250,168,1
T107,5468,250,16,2
T415,1916,251,48,1
T831,1034,251,121,5
T700,649,252,247,5
T333,251,253,62,5
T762,292,253,118,4
T696,863,253,221,3
T985,1680,253,58,2
T782,2008,254,55,4
T619,2668,254,169,3
T459,1863,254,74,2
T352,2488,254,66,2
T585,2220,255,129,5
T633,2208,255,149,4
T789,2355,255,197,3
T986,2713,255,182,1
T461,2388,256,243,3
T372,1216,256,242,2
T826,1516,256,43,1
T411,1007,257,187,1
T135,2101,258,94,1
T726,928,258,176,5
T511,2310,259,243,5
T126,1186,259,63,3
T434,971,259,69,4
T993,1273,259,190,5
T655,2187,259,166,4
T507,1582,260,34,3
T318,2989,260,99,4
T102,5480,261,20,2
T730,1924,261,237,1
T177,2038,261,233,2
T910,1691,261,137,5
T91,6559,262,18,1
T101,8978,262,30,1
T410,2531,262,57,4
T307,104,263,198,5
T627,2400,263,57,3
T247,882,264,51,2
T92,7902,265,28,2
T880,2385,265,178,5
T669,949,265,173,3
T309,1581,265,189,4
T887,2078,266,119,4
T238,2764,267,99,5
T470,422,268,131,3
T260,2544,268,102,1
T794,238,268,244,1
T763,1405,268,208,4
T546,1577,268,47,5
T93,10972,269,16,1
T408,565,269,220,1
T601,1782,269,226,4
T537,1833,270,58,3
T987,149,270,122,3
T744,621,270,216,2
T903,2717,270,110,5
T419,1307,271,146,5
T473,2188,271,79,3
T694,252,273,74,4
T639,133,274,246,1
T803,1274,274,34,5
T108,11985,274,31,1
T923,1282,275,73,4
T239,2080,275,149,4
T292,2122,276,142,1
T198,430,276,65,2
T737,346,277,47,4
T547,2178,278,231,5
T926,1602,278,168,1
T96,8675,278,19,2
T568,1303,279,112,1
T141,247,279,243,3
T418,1431,280,127,5
T593,2320,281,104,3
T139,2990,282,139,5
T779,1417,282,228,3
T813,2049,282,44,1
T605,2720,282,180,2
T320,692,282,128,2
T264,1296,283,208,2
T548,183,283,129,4
T841,2198,284,134,1
T760,2523,285,218,2
T188,1120,285,247,1
T376,1598,285,53,4
T918,2170,287,197,4
T438,2646,287,187,5
T430,2400,287,114,1
T877,2742,288,203,4
T816,490,289,165,1
T809,1096,289,208,2
T349,2892,289,232,2
T924,2128,289,170,5
T447,2542,290,51,1
T705,2862,290,223,2
T360,1570,292,177,3
T618,1806,292,188,1
T266,1264,293,150,4
T664,2969,293,58,2
T582,663,293,165,3
T938,1195,293,249,5
T437,1026,293,236,4
T756,1406,294,177,5
T542,1090,294,213,2
T602,402,294,62,3
T204,1658,294,152,1
T900,516,295,234,5
T297,264,295,225,2
T944,2690,295,98,4
T660,1032,295,214,1
T953,634,295,174,4
T632,1380,295,78,2
T175,2584,296,197,3
T325,2803,296,155,2
T552,1461,297,64,1
T661,2067,298,73,5
T142,2363,298,67,4
T871,1741,298,166,5
T712,2446,298,32,3
T786,2472,299,214,4
T379,1660,299,240,3
T774,2850,300,173,2
T296,184,300,225,3
T389,732,300,136,1
T999,2698,300,225,1
T406,1426,301,34,2
T483,330,302,120,5
T334,1459,302,55,4
T240,1199,303,112,2
T829,1724,304,228,3
T874,2713,304,51,1
T289,2431,304,103,4
T659,2043,305,97,5
T541,2295,305,34,5
T321,2181,306,221,2
T293,263,306,140,3
T698,539,308,115,3
T773,261,308,48,2
T207,1003,308,154,2
T294,1125,309,36,1
T580,728,309,203,4
T420,1862,309,55,1
T983,2187,310,78,4
T652,2211,310,65,3
T363,2134,310,243,3
T273,2541,310,232,5
T451,1910,310,136,3
T673,2083,312,79,2
T382,1006,312,195,1
T973,2762,312,72,4
T653,1404,313,71,4
T487,2533,314,159,4
T907,2517,314,51,2
T612,2285,314,53,5
T750,164,314,91,2
T573,1881,314,100,1
T853,900,315,147,1
T654,1325,315,181,3
T996,725,315,101,1
T342,380,316,90,3
T906,806,316,238,3
T916,319,317,121,1
T222,724,318,91,2
T167,1385,319,199,1
T285,2515,320,199,2
T119,13272,320,20,1
T118,14183,320,20,1
T117,17565,320,20,1
T116,15868,320,20,1
T115,10343,320,20,1
T114,9651,320,20,1
T310,1910,320,224,1
T113,13033,320,20,1
T112,10964,320,20,1
T111,15615,320,20,1
T120,12346,320,20,1
T341,2098,320,168,1
T761,2880,320,139,5
T367,497,321,190,1
T895,855,322,77,4
T270,2911,322,43,2
T662,2638,322,228,4
T933,1853,323,72,5
T482,1340,323,233,3
T555,846,323,237,2
T344,2983,324,55,4
T300,2114,325,53,4
T383,2001,325,209,3
T194,1235,326,226,5
T138,1172,326,71,4
T265,2110,326,56,1
T717,1308,327,124,5
T603,403,328,145,4
T620,1337,328,153,2
T617,2462,328,97,2
T613,790,328,181,5
T413,227,329,45,4
T394,1569,330,45,4
T703,1153,331,213,2
T317,730,331,157,3
T287,710,331,98,2
T891,547,331,203,2
T384,1772,332,59,2
T339,428,332,248,3
T220,264,333,223,1
T713,1572,334,207,2
T811,2761,334,224,1
T691,2048,334,152,2
T638,2854,334,150,3
T682,1150,335,221,4
T421,2766,335,226,5
T477,408,335,75,4
T820,234,336,75,3
T178,447,337,102,5
T982,1335,337,82,5
T412,2235,337,107,4
T279,432,338,70,2
T833,1656,338,51,5
T179,2692,339,188,3
T670,2059,339,164,4
T169,1772,341,113,4
T190,2275,341,173,5
T592,1523,341,211,1
T145,521,341,120,5
T795,298,342,225,1
T121,1386,342,91,3
T302,528,343,249,2
T388,2952,343,168,4
T867,2145,344,65,3
T746,2330,344,138,5
T757,1413,344,90,3
T340,2285,345,127,3
T943,1708,346,155,2
T172,812,346,187,5
T577,1894,347,38,2
T939,490,347,64,4
T497,2548,347,43,3
T499,1683,347,102,3
T604,2219,348,118,2
T864,2353,349,36,4
T621,1763,350,106,4
T554,2003,350,208,4
T847,1659,350,73,2
T819,1248,350,169,5
T165,2846,351,80,3
T932,1536,352,250,5
T258,858,353,79,2
T676,2987,353,155,3
T230,2669,353,92,1
T866,383,354,239,4
T565,2137,354,124,5
T872,1813,354,169,1
T913,2742,355,74,5
T858,922,355,152,3
T860,2692,355,155,5
T947,1611,355,146,4
T187,2221,356,148,1
T231,1335,356,247,5
T170,1311,356,171,2
T804,2860,357,140,2
T329,1078,357,176,4
T361,1309,358,35,4
T962,1059,358,139,1
T291,1748,358,99,5
T255,1958,359,99,3
T814,801,359,51,4
T941,643,359,93,2
T246,1231,359,172,1
T129,1339,360,186,5
T716,1373,360,206,1
T587,1927,360,84,5
T963,489,360,30,2
T778,937,360,131,2
T724,1581,360,49,5
T534,2021,361,144,5
T200,976,361,46,4
T237,726,362,141,2
T865,958,362,142,3
T656,2405,362,106,4
T920,1918,363,155,2
T890,571,363,35,3
T942,1419,364,242,2
T822,1731,364,49,3
T836,2696,364,69,4
T681,423,365,118,4
T869,1833,366,232,4
T729,2488,367,155,1
T226,569,367,229,2
T927,1907,368,169,2
T615,2578,368,116,5
T248,1764,368,155,5
T168,1330,368,159,3
T432,310,369,103,5
T336,690,369,134,2
T852,2660,369,156,5
T981,2588,369,102,1
T422,980,369,140,4
T734,189,370,131,3
T210,776,370,245,4
T500,2789,370,184,2
